Year,Period,Consumer Price Index,Over-the-Year Percent Change,CPI_MOM,Dates
1948,June,24.1,9.50%,0.80%,01-06-1948
1948,July,24.4,9.90%,1.20%,01-07-1948
1948,August,24.5,8.90%,0.40%,01-08-1948
1948,September,24.5,6.50%,0.00%,01-09-1948
1948,October,24.4,6.10%,-0.40%,01-10-1948
1948,November,24.2,4.80%,-0.80%,01-11-1948
1948,December,24.1,3.00%,-0.40%,01-12-1948
1949,January,24,1.30%,-0.40%,01-01-1949
1949,February,23.8,1.30%,-0.80%,01-02-1949
1949,March,23.8,1.70%,0.00%,01-03-1949
1949,April,23.9,0.40%,0.40%,01-04-1949
1949,May,23.8,-0.40%,-0.40%,01-05-1949
1949,June,23.9,-0.80%,0.40%,01-06-1949
1949,July,23.7,-2.90%,-0.80%,01-07-1949
1949,August,23.8,-2.90%,0.40%,01-08-1949
1949,September,23.9,-2.40%,0.40%,01-09-1949
1949,October,23.7,-2.90%,-0.80%,01-10-1949
1949,November,23.8,-1.70%,0.40%,01-11-1949
1949,December,23.6,-2.10%,-0.80%,01-12-1949
1950,January,23.5,-2.10%,-0.40%,01-01-1950
1950,February,23.5,-1.30%,0.00%,01-02-1950
1950,March,23.6,-0.80%,0.40%,01-03-1950
1950,April,23.6,-1.30%,0.00%,01-04-1950
1950,May,23.7,-0.40%,0.40%,01-05-1950
1950,June,23.8,-0.40%,0.40%,01-06-1950
1950,July,24.1,1.70%,1.30%,01-07-1950
1950,August,24.3,2.10%,0.80%,01-08-1950
1950,September,24.4,2.10%,0.40%,01-09-1950
1950,October,24.6,3.80%,0.80%,01-10-1950
1950,November,24.7,3.80%,0.40%,01-11-1950
1950,December,25,5.90%,1.20%,01-12-1950
1951,January,25.4,8.10%,1.60%,01-01-1951
1951,February,25.7,9.40%,1.20%,01-02-1951
1951,March,25.8,9.30%,0.40%,01-03-1951
1951,April,25.8,9.30%,0.00%,01-04-1951
1951,May,25.9,9.30%,0.40%,01-05-1951
1951,June,25.9,8.80%,0.00%,01-06-1951
1951,July,25.9,7.50%,0.00%,01-07-1951
1951,August,25.9,6.60%,0.00%,01-08-1951
1951,September,26.1,7.00%,0.80%,01-09-1951
1951,October,26.2,6.50%,0.40%,01-10-1951
1951,November,26.4,6.90%,0.80%,01-11-1951
1951,December,26.5,6.00%,0.40%,01-12-1951
1952,January,26.5,4.30%,0.00%,01-01-1952
1952,February,26.3,2.30%,-0.80%,01-02-1952
1952,March,26.3,1.90%,0.00%,01-03-1952
1952,April,26.4,2.30%,0.40%,01-04-1952
1952,May,26.4,1.90%,0.00%,01-05-1952
1952,June,26.5,2.30%,0.40%,01-06-1952
1952,July,26.7,3.10%,0.80%,01-07-1952
1952,August,26.7,3.10%,0.00%,01-08-1952
1952,September,26.7,2.30%,0.00%,01-09-1952
1952,October,26.7,1.90%,0.00%,01-10-1952
1952,November,26.7,1.10%,0.00%,01-11-1952
1952,December,26.7,0.80%,0.00%,01-12-1952
1953,January,26.6,0.40%,-0.40%,01-01-1953
1953,February,26.5,0.80%,-0.40%,01-02-1953
1953,March,26.6,1.10%,0.40%,01-03-1953
1953,April,26.6,0.80%,0.00%,01-04-1953
1953,May,26.7,1.10%,0.40%,01-05-1953
1953,June,26.8,1.10%,0.40%,01-06-1953
1953,July,26.8,0.40%,0.00%,01-07-1953
1953,August,26.9,0.70%,0.40%,01-08-1953
1953,September,26.9,0.70%,0.00%,01-09-1953
1953,October,27,1.10%,0.40%,01-10-1953
1953,November,26.9,0.70%,-0.40%,01-11-1953
1953,December,26.9,0.70%,0.00%,01-12-1953
1954,January,26.9,1.10%,0.00%,01-01-1954
1954,February,26.9,1.50%,0.00%,01-02-1954
1954,March,26.9,1.10%,0.00%,01-03-1954
1954,April,26.8,0.80%,-0.40%,01-04-1954
1954,May,26.9,0.70%,0.40%,01-05-1954
1954,June,26.9,0.40%,0.00%,01-06-1954
1954,July,26.9,0.40%,0.00%,01-07-1954
1954,August,26.9,0.00%,0.00%,01-08-1954
1954,September,26.8,-0.40%,-0.40%,01-09-1954
1954,October,26.8,-0.70%,0.00%,01-10-1954
1954,November,26.8,-0.40%,0.00%,01-11-1954
1954,December,26.7,-0.70%,-0.40%,01-12-1954
1955,January,26.7,-0.70%,0.00%,01-01-1955
1955,February,26.7,-0.70%,0.00%,01-02-1955
1955,March,26.7,-0.70%,0.00%,01-03-1955
1955,April,26.7,-0.40%,0.00%,01-04-1955
1955,May,26.7,-0.70%,0.00%,01-05-1955
1955,June,26.7,-0.70%,0.00%,01-06-1955
1955,July,26.8,-0.40%,0.40%,01-07-1955
1955,August,26.8,-0.40%,0.00%,01-08-1955
1955,September,26.9,0.40%,0.40%,01-09-1955
1955,October,26.9,0.40%,0.00%,01-10-1955
1955,November,26.9,0.40%,0.00%,01-11-1955
1955,December,26.8,0.40%,-0.40%,01-12-1955
1956,January,26.8,0.40%,0.00%,01-01-1956
1956,February,26.8,0.40%,0.00%,01-02-1956
1956,March,26.8,0.40%,0.00%,01-03-1956
1956,April,26.9,0.70%,0.40%,01-04-1956
1956,May,27,1.10%,0.40%,01-05-1956
1956,June,27.2,1.90%,0.70%,01-06-1956
